trip_id,start_time,end_time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
21007956,2018-10-02 13:27:55,2018-10-02 13:52:32,1625,"1,477.0",24,Fairbanks Ct & Grand Ave,111.0,Sedgwick St & Huron St,Subscriber,Male,1980.0
21007958,2018-10-02 13:27:59,2018-10-02 13:45:12,4583,"1,033.0",21,Aberdeen St & Jackson Blvd,39.0,Wabash Ave & Adams St,Customer,,
21007959,2018-10-02 13:28:01,2018-10-02 13:49:49,5582,"1,308.0",284,Michigan Ave & Jackson Blvd,4.0,Burnham Harbor,Subscriber,Male,1967.0
21007960,2018-10-02 13:28:08,2018-10-02 13:35:51,2803,463.0,52,Michigan Ave & Lake St,96.0,Desplaines St & Randolph St,Subscriber,Male,1990.0
21007961,2018-10-02 13:28:11,2018-10-02 14:20:28,4787,"3,137.0",90,Millennium Park,76.0,Lake Shore Dr & Monroe St,Customer,,
21007962,2018-10-02 13:28:18,2018-10-02 14:20:35,5677,"3,137.0",90,Millennium Park,76.0,Lake Shore Dr & Monroe St,Customer,,
21007963,2018-10-02 13:28:19,2018-10-02 15:12:59,3287,"6,280.0",34,Cannon Dr & Fullerton Ave,341.0,Adler Planetarium,Customer,,
21007964,2018-10-02 13:28:22,2018-10-02 14:20:28,1295,"3,126.0",90,Millennium Park,76.0,Lake Shore Dr & Monroe St,Customer,,
21007965,2018-10-02 13:28:34,2018-10-02 13:53:33,4818,"1,499.0",34,Cannon Dr & Fullerton Ave,114.0,Sheffield Ave & Waveland Ave,Customer,,
21007966,2018-10-02 13:28:38,2018-10-02 13:39:32,175,654.0,627,LaSalle Dr & Huron St (*),287.0,Franklin St & Monroe St,Subscriber,Male,1963.0
21007967,2018-10-02 13:28:39,2018-10-02 13:35:12,5926,393.0,293,Broadway & Wilson Ave,344.0,Ravenswood Ave & Lawrence Ave,Subscriber,Male,1988.0
21007968,2018-10-02 13:28:38,2018-10-02 15:13:06,1847,"6,268.0",34,Cannon Dr & Fullerton Ave,341.0,Adler Planetarium,Customer,,
21007969,2018-10-02 13:28:46,2018-10-02 13:36:30,6294,464.0,52,Michigan Ave & Lake St,40.0,LaSalle St & Adams St,Subscriber,Male,1974.0
21007972,2018-10-02 13:29:04,2018-10-02 13:34:04,320,300.0,283,LaSalle St & Jackson Blvd,51.0,Clark St & Randolph St,Subscriber,Male,1982.0
21007973,2018-10-02 13:29:06,2018-10-02 13:37:34,4482,508.0,328,Ellis Ave & 58th St,322.0,Kimbark Ave & 53rd St,Subscriber,Male,1996.0
21007974,2018-10-02 13:29:08,2018-10-02 13:40:05,1589,657.0,458,Broadway & Thorndale Ave,453.0,Clark St & Schreiber Ave,Customer,,
21007975,2018-10-02 13:29:11,2018-10-02 13:52:27,4951,"1,396.0",445,California Ave & 26th St,15.0,Racine Ave & 18th St,Customer,,
21007976,2018-10-02 13:29:14,2018-10-02 13:45:25,511,971.0,337,Clark St & Chicago Ave,337.0,Clark St & Chicago Ave,Subscriber,Female,1989.0
21007978,2018-10-02 13:29:32,2018-10-02 13:35:59,1844,387.0,31,Franklin St & Chicago Ave,181.0,LaSalle St & Illinois St,Subscriber,Male,1979.0
21007979,2018-10-02 13:29:33,2018-10-02 13:33:10,1703,217.0,149,Calumet Ave & 33rd St,148.0,State St & 33rd St,Subscriber,Male,1993.0
21007980,2018-10-02 13:29:40,2018-10-02 13:45:01,1017,921.0,346,Ada St & Washington Blvd,175.0,Wells St & Polk St,Subscriber,Female,1985.0
21007981,2018-10-02 13:29:40,2018-10-02 13:44:06,1065,866.0,125,Rush St & Hubbard St,138.0,Clybourn Ave & Division St,Subscriber,Female,1959.0
21007982,2018-10-02 13:29:43,2018-10-02 13:32:09,4843,146.0,110,Dearborn St & Erie St,161.0,Rush St & Superior St,Subscriber,Male,1971.0
21007983,2018-10-02 13:29:59,2018-10-02 13:40:01,6378,602.0,52,Michigan Ave & Lake St,24.0,Fairbanks Ct & Grand Ave,Subscriber,Female,1988.0
21007985,2018-10-02 13:30:04,2018-10-02 13:35:20,2247,316.0,77,Clinton St & Madison St,49.0,Dearborn St & Monroe St,Subscriber,Male,1975.0
21007987,2018-10-02 13:30:15,2018-10-02 13:35:11,4052,296.0,77,Clinton St & Madison St,49.0,Dearborn St & Monroe St,Subscriber,Male,1976.0
21007988,2018-10-02 13:30:20,2018-10-02 13:48:40,4916,"1,100.0",344,Ravenswood Ave & Lawrence Ave,332.0,Burling St (Halsted) & Diversey Pkwy (Temp),Subscriber,Female,1990.0
21007989,2018-10-02 13:30:21,2018-10-02 13:32:43,4372,142.0,241,Morgan St & Polk St,22.0,May St & Taylor St,Subscriber,Male,1983.0
21007990,2018-10-02 13:30:28,2018-10-02 13:45:56,6361,928.0,183,Damen Ave & Thomas St (Augusta Blvd),176.0,Clark St & Elm St,Subscriber,Female,1988.0
21007991,2018-10-02 13:30:30,2018-10-02 13:42:29,283,719.0,81,Daley Center Plaza,48.0,Larrabee St & Kingsbury St,Subscriber,Female,1989.0
